Basement-B115A,51.5241,-0.1346,Cruciform Building,Gower Street,WC1E 6BT,17,22
Ground-Ground floor - Public,51.523481,-0.132571,DMS Watson Science Library,Malet Place  Gower Street,WC1E 6BT,14,26
2nd floor-Dutch Reading Room 203,51.524658,-0.133535,Main Library (Wilkins Building),Gower Street,WC1E 6BT,1,1
Basement-B04,51.524248,-0.134172,Chadwick Building (North),Gower Street,WC1E 6BT,1,5
3rd floor-316,51.523411,-0.128371,Bedford Way,26 Bedford Way,WC1H 0AP,0,0
5th floor-501,51.524973,-0.131632,Institute of Archaeology,31-34 Gordon Square,WC1H 0PY,0,0
1st floor-105,51.5257,-0.133317,UCL Union Building,25 Gordon Street,WC1H 0AY,8,11
Ground-Ground - Open access Public,51.523481,-0.132571,DMS Watson Science Library,Malet Place  Gower Street,WC1E 6BT,34,47
Ground-G20,51.525226,-0.132288,Christopher Ingold Building,20 Gordon Street,WC1H 0AJ,40,41
Basement-B01,51.524653,-0.134754,Pearson Building,Gower Street,WC1E 6BT,5,7
20 (off the map)-UC1004,51.566709,-0.139303,Archway Whittington Undergraduate Centre,Great Northern Building  St Mary's Wing  Whittington Hospital  Highgate Hill,N19 3UA,1,1
2nd floor-223,51.524248,-0.134172,Chadwick Building (North),Gower Street,WC1E 6BT,0,17
Basement-B29,51.523559,-0.13230,Foster Court,Malet Place  London,WC1E 7JG,0,35
1st floor-113,51.521861,-0.134557,Torrington Place,1-19 Torrington Place,WC1E 7HB,3,3
Ground-G11,51.523411,-0.128371,Bedford Way,26 Bedford Way,WC1H 0AP,0,0
Mezzanine-Mezzanine - Public,51.523481,-0.132571,DMS Watson Science Library,Malet Place  Gower Street,WC1E 6BT,24,40
Mezzanine-Mezzanine - Postgraduate only,51.523481,-0.132571,DMS Watson Science Library,Malet Place  Gower Street,WC1E 6BT,36,53
1st floor-1st floor,51.524658,-0.133535,Main Library (Wilkins Building),Gower Street,WC1E 6BT,4,9
Ground-G01,51.5259,-0.1228,Chandler House,2 Wakefield St,WC1N 1PF,12,13
1st floor-117,51.524973,-0.131632,Institute of Archaeology,31-34 Gordon Square,WC1H 0PY,5,5
2nd floor-203,51.524497,-0.132115,Gordon Square (History),23 Gordon Square,WC1H 0AW,8,8
